employment_cap,objective,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,era_cap,arable_land_consumption,level_building_coal_mine,level_building_iron_mine,level_building_lead_mine,level_building_sulfur_mine,level_building_gold_mine,level_building_logging_camp,level_building_rubber_plantation,level_building_fishing_wharf,level_building_whaling_station,level_building_oil_rig,error
35000000,gdp,559326931.317588,35000000.0,2763907.4392501665,15.980769466216799,202.36818475705917,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
36000000,gdp,566596791.159148,36000000.00000001,2703700.2485128115,15.738799754420773,209.56346454116294,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
37000000,gdp,573866651.000708,36999999.99999999,2643493.057775456,15.509909486505624,217.0864982273214,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
38000000,gdp,581136510.8422681,38000000.00000001,2583285.8670381005,15.293066074796526,224.96020214308595,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
39000000,gdp,588406370.6838281,39000000.0,2523078.6763007455,15.087342838046874,233.20967998767682,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
40000000,gdp,595676230.5253881,40000000.0,2462871.4855633904,14.891905763134703,241.8624901936875,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
41000000,gdp,602946090.3669481,40999999.99999999,2402664.2948260354,14.706002204071908,250.94895348690582,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
42000000,gdp,610215950.2085081,41999999.99999999,2342457.10408868,14.528951195440673,260.502507876621,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
43000000,gdp,617485810.0500683,43000000.0,2282249.9133513244,14.360135117443448,270.56011983513827,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
44000000,gdp,624755669.8916283,44000000.0,2222042.7226139694,14.198992497537006,281.1627623237943,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
